title,address,lat,lng,type,place_id_search
ChargePoint Charging Station,"La Jolla, CA 92037",32.875498,-117.223711,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x80dc06d707ab0a57%3A0xa8bc62058644d05a%218m2%213d32.875498%214d-117.223711&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"Endicott Blvd, San Jose, CA 95123",37.2425315,-121.793312,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x808e2e3752928ac3%3A0x758def5195995b64%218m2%213d37.2425315%214d-121.793312&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"1800 Diagonal Rd, Alexandria, VA 22314",38.805726799999995,-77.0601144,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x89b7b1f6bb3b8a83%3A0xa54125d5b1306ff8%218m2%213d38.805726799999995%214d-77.0601144&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"2801 Waterwall Dr, Houston, TX 77056",29.7361899,-95.462441,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x8640c16e715bfb4b%3A0x169ecf23bd52b0f5%218m2%213d29.7361899%214d-95.462441&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"San Jose, CA 95119",37.238352,-121.7837538,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x808e2e4b0b6bb617%3A0x2c2bc5d429192805%218m2%213d37.238352%214d-121.7837538&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"91 Hall St, Concord, NH 03301",43.187965299999995,-71.52442649999999,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x89e241d55c2cf8d9%3A0x3d5f2ed22cc8a149%218m2%213d43.187965299999995%214d-71.52442649999999&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"808-868 N 17th St, Manhattan, KS 66502",39.1868379,-96.58278709999999,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x87bdcd88a76cc159%3A0xec973936c9eb0638%218m2%213d39.1868379%214d-96.58278709999999&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"@ KSU Memorial Stadium, 916 Denison Ave, Manhattan, KS 66502",39.187439999999995,-96.58577,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x87bdcd8f71b78ef9%3A0xd5240abc77afc573%218m2%213d39.187439999999995%214d-96.58577&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"420 Colorado St, Manhattan, KS 66502",39.1766663,-96.562462,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x87bdd289f65d98d5%3A0x40019e615552aa56%218m2%213d39.1766663%214d-96.562462&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"@ Flint Hills Discovery Center, 315 S 3rd St, Manhattan, KS 66502",39.1759452,-96.55951019999999,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x87bdd28af6fff90f%3A0x4db226c8fe959297%218m2%213d39.1759452%214d-96.55951019999999&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"1000 S Wind Dr, Wamego, KS 66547",39.209272,-96.28285199999999,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x87be7c5ed85b49d1%3A0xce3f3a53c09950a2%218m2%213d39.209272%214d-96.28285199999999&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"818 S Kansas Ave, Topeka, KS 66612",39.0483596,-95.6745753,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x87bf030e2d091173%3A0xbd30dc8c826b5ee1%218m2%213d39.0483596%214d-95.6745753&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"I-70, Tecumseh, KS 66542",39.0196347,-95.50789119999999,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x87bf11d98b461613%3A0x677669a571095c40%218m2%213d39.0196347%214d-95.50789119999999&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"Lawrence, KS 66044",39.020359899999995,-95.13467399999999,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x87bf63678f722e41%3A0x73a7558b05bd2c92%218m2%213d39.020359899999995%214d-95.13467399999999&engine=google_maps&google_domain=google.com&hl=en&type=place
ChargePoint Charging Station,"@ Lawrence Sports Pavilion, 100 Rock Chalk Ln, Lawrence, KS 66049",38.9812,-95.327415,Electric vehicle charging station,https://serpapi.com/search.json?data=%214m5%213m4%211s0x87bf6c37611dcefb%3A0x259aa670acaa56cc%218m2%213d38.9812%214d-95.327415&engine=google_maps&google_domain=google.com&hl=en&type=place
